Date,Price,flood,Ramadan,Season
2021-05-23,59.5,0,0,Pre-Monsoon
2021-05-30,59.0,0,0,Pre-Monsoon
2021-06-06,61.5,0,0,Monsoon
2021-06-13,61.5,0,0,Monsoon
2021-06-20,61.5,0,0,Monsoon
2021-06-27,61.1,0,0,Monsoon
2021-07-04,61.357142857142854,0,0,Monsoon
2021-07-11,62.5,0,0,Monsoon
2021-07-18,62.07142857142857,0,0,Monsoon
2021-07-25,62.0,0,0,Monsoon
2021-08-01,63.42857142857143,0,0,Monsoon
2021-08-08,64.0,0,0,Monsoon
2021-08-15,64.0,0,0,Monsoon
2021-08-22,64.0,0,0,Monsoon
2021-08-29,64.0,0,0,Monsoon
2021-09-05,62.8,0,0,Monsoon
2021-09-12,60.25,0,0,Monsoon
2021-09-19,60.0,0,0,Monsoon
2021-09-26,60.2,0,0,Monsoon
2021-10-03,61.666666666666664,0,0,Post-Monsoon
2021-10-10,62.0,0,0,Post-Monsoon
2021-10-17,60.5,0,0,Post-Monsoon
2021-10-24,61.6,0,0,Post-Monsoon
2021-10-31,62.25,0,0,Post-Monsoon
2021-11-07,62.4,0,0,Winter
2021-11-14,63.0,0,0,Winter
2021-11-21,62.25,0,0,Winter
2021-11-28,62.1,0,0,Winter
2021-12-05,63.0,0,0,Winter
2021-12-12,63.0,0,0,Winter
2021-12-19,63.0,0,0,Winter
2021-12-26,63.0,0,0,Winter
2022-01-02,63.125,0,0,Winter
2022-01-09,64.0,0,0,Winter
2022-01-16,65.0,0,0,Winter
2022-01-23,64.0,0,0,Winter
2022-01-30,64.0,0,0,Winter
2022-02-06,64.8,0,0,Winter
2022-02-13,64.0,0,0,Winter
2022-02-20,64.0,0,0,Winter
2022-02-27,65.66666666666667,0,0,Winter
2022-03-06,66.0,0,0,Pre-Monsoon
2022-03-13,65.75,0,0,Pre-Monsoon
2022-03-20,65.6,0,0,Pre-Monsoon
2022-03-27,65.45,0,1,Pre-Monsoon
2022-04-03,65.3,0,1,Pre-Monsoon
2022-04-10,65.15,0,1,Pre-Monsoon
2022-04-17,65.0,0,1,Pre-Monsoon
2022-04-24,64.0,0,1,Pre-Monsoon
2022-05-01,64.0,0,1,Pre-Monsoon
2022-05-08,64.0,0,1,Pre-Monsoon
2022-05-15,63.75,1,0,Pre-Monsoon
2022-05-22,63.5,1,0,Pre-Monsoon
2022-05-29,63.0,1,0,Pre-Monsoon
2022-06-05,66.25,1,0,Monsoon
2022-06-12,68.0,1,0,Monsoon
2022-06-19,69.5,1,0,Monsoon
2022-06-26,72.0,1,0,Monsoon
2022-07-03,71.375,1,0,Monsoon
2022-07-10,70.75,1,0,Monsoon
2022-07-17,70.125,1,0,Monsoon
2022-07-24,69.5,1,0,Monsoon
2022-07-31,70.1,1,0,Monsoon
2022-08-07,70.7,0,0,Monsoon
2022-08-14,71.3,0,0,Monsoon
2022-08-21,71.9,0,0,Monsoon
2022-08-28,72.5,0,0,Monsoon
2022-09-04,72.25,0,0,Monsoon
2022-09-11,72.0,0,0,Monsoon
2022-09-18,71.75,0,0,Monsoon
2022-09-25,71.5,0,0,Monsoon
2022-10-02,71.25,0,0,Post-Monsoon
2022-10-09,71.0,0,0,Post-Monsoon
2022-10-16,70.75,0,0,Post-Monsoon
2022-10-23,70.5,0,0,Post-Monsoon
2022-10-30,70.25,0,0,Post-Monsoon
2022-11-06,70.0,0,0,Winter
2022-11-13,69.75,0,0,Winter
2022-11-20,69.5,0,0,Winter
2022-11-27,69.25,0,0,Winter
2022-12-04,69.0,0,0,Winter
2022-12-11,68.75,0,0,Winter
2022-12-18,68.5,0,0,Winter
2022-12-25,67.5,0,0,Winter
2023-01-01,66.5,0,0,Winter
2023-01-08,66.5,0,0,Winter
2023-01-15,66.28571428571429,0,0,Winter
2023-01-22,66.5,0,0,Winter
2023-01-29,67.21428571428571,0,0,Winter
2023-02-05,67.5,0,0,Winter
2023-02-12,67.5,0,0,Winter
2023-02-19,67.5,0,0,Winter
2023-02-26,67.5,0,0,Winter
2023-03-05,67.5,0,0,Pre-Monsoon
2023-03-12,67.5,0,0,Pre-Monsoon
2023-03-19,67.5,0,1,Pre-Monsoon
2023-03-26,67.5,0,1,Pre-Monsoon
2023-04-02,67.5,0,1,Pre-Monsoon
2023-04-09,67.5,0,1,Pre-Monsoon
2023-04-16,67.5,0,1,Pre-Monsoon
2023-04-23,67.5,0,1,Pre-Monsoon
2023-04-30,67.78571428571429,0,0,Pre-Monsoon
2023-05-07,67.5,0,0,Pre-Monsoon
2023-05-14,67.5,0,0,Pre-Monsoon
2023-05-21,67.5,0,0,Pre-Monsoon
2023-05-28,67.5,0,0,Pre-Monsoon
2023-06-04,67.5,0,0,Monsoon
2023-06-11,67.5,0,0,Monsoon
2023-06-18,67.5,0,0,Monsoon
2023-06-25,67.5,0,0,Monsoon
2023-07-02,67.5,0,0,Monsoon
2023-07-09,67.5,0,0,Monsoon
2023-07-16,67.5,0,0,Monsoon
2023-07-23,67.5,0,0,Monsoon
2023-07-30,67.5,0,0,Monsoon
2023-08-06,67.5,1,0,Monsoon
2023-08-13,67.33333333333333,1,0,Monsoon
2023-08-20,66.66666666666667,1,0,Monsoon
2023-08-27,66.0,0,0,Monsoon
2023-09-03,66.0,0,0,Monsoon
2023-09-10,66.0,0,0,Monsoon
2023-09-17,66.0,0,0,Monsoon
2023-09-24,66.0,0,0,Monsoon
2023-10-01,66.0,0,0,Post-Monsoon
2023-10-08,66.0,0,0,Post-Monsoon
2023-10-15,66.0,0,0,Post-Monsoon
2023-10-22,66.0,0,0,Post-Monsoon
2023-10-29,66.0,0,0,Post-Monsoon
2023-11-05,66.0,0,0,Winter
2023-11-12,67.5,0,0,Winter
2023-11-19,68.5,0,0,Winter
2023-11-26,68.5,0,0,Winter
2023-12-03,68.5,0,0,Winter
2023-12-10,68.57142857142857,0,0,Winter
2023-12-17,66.16666666666667,0,0,Winter
2023-12-24,65.0,0,0,Winter
2023-12-31,66.66666666666667,0,0,Winter
2024-01-07,67.5,0,0,Winter
2024-01-14,67.5,0,0,Winter
2024-01-21,68.5,0,0,Winter
2024-01-28,68.5,0,0,Winter
2024-02-04,68.5,0,0,Winter
2024-02-11,68.5,0,0,Winter
2024-02-18,68.35714285714286,0,0,Winter
2024-02-25,67.5,0,0,Winter
2024-03-03,68.33333333333333,0,0,Pre-Monsoon
2024-03-10,68.5,0,1,Pre-Monsoon
2024-03-17,68.5,0,1,Pre-Monsoon
2024-03-24,69.5,0,1,Pre-Monsoon
2024-03-31,70.41666666666667,0,1,Pre-Monsoon
2024-04-07,70.5,0,1,Pre-Monsoon
2024-04-14,70.5,0,1,Pre-Monsoon
2024-04-21,70.42857142857143,0,0,Pre-Monsoon
2024-04-28,70.0,0,0,Pre-Monsoon
2024-05-05,70.0,0,0,Pre-Monsoon
2024-05-12,70.0,0,0,Pre-Monsoon
2024-05-19,68.57142857142857,0,0,Pre-Monsoon
2024-05-26,68.0,0,0,Pre-Monsoon
2024-06-02,68.125,0,0,Monsoon
2024-06-09,69.0,0,0,Monsoon
2024-06-16,70.14285714285714,0,0,Monsoon
2024-06-23,73.0,0,0,Monsoon
2024-06-30,70.71428571428571,0,0,Monsoon
2024-07-07,69.0,0,0,Monsoon
2024-07-14,69.14285714285714,0,0,Monsoon
2024-07-21,70.0,0,0,Monsoon
2024-07-28,69.33333333333333,0,0,Monsoon
2024-08-04,69.16666666666666,0,0,Monsoon
2024-08-11,69.0,0,0,Monsoon
2024-08-18,69.66666666666667,0,0,Monsoon
2024-08-25,71.36363636363636,1,0,Monsoon
2024-09-01,72.0,1,0,Monsoon
2024-09-08,72.0,1,0,Monsoon
2024-09-15,72.0,1,0,Monsoon
2024-09-22,72.0,1,0,Monsoon
2024-09-29,72.0,1,0,Monsoon
2024-10-06,72.0,0,0,Post-Monsoon
2024-10-13,72.0,0,0,Post-Monsoon
2024-10-20,72.0,0,0,Post-Monsoon
2024-10-27,72.0,0,0,Post-Monsoon
2024-11-03,74.83333333333333,0,0,Winter
2024-11-10,74.14285714285714,0,0,Winter
2024-11-17,74.0,0,0,Winter
2024-11-24,74.0,0,0,Winter
2024-12-01,74.0,0,0,Winter
2024-12-08,74.0,0,0,Winter
2024-12-15,74.0,0,0,Winter
2024-12-22,74.0,0,0,Winter
2024-12-29,74.6,0,0,Winter
2025-01-05,76.72222222222223,0,0,Winter
2025-01-12,77.0,0,0,Winter
2025-01-19,77.0,0,0,Winter
2025-01-26,77.28571428571429,0,0,Winter
2025-02-02,77.5,0,0,Winter
2025-02-09,77.5,0,0,Winter
2025-02-16,77.25,0,0,Winter
2025-02-23,77.91666666666667,0,0,Winter
2025-03-02,78.5,0,1,Pre-Monsoon
2025-03-09,78.5,0,1,Pre-Monsoon
2025-03-16,77.92857142857143,0,1,Pre-Monsoon
2025-03-23,78.3,0,1,Pre-Monsoon
2025-03-30,78.66666666666667,0,1,Pre-Monsoon
2025-04-06,79.16666666666667,0,1,Pre-Monsoon
2025-04-13,78.5,0,0,Pre-Monsoon
2025-04-20,78.5,0,0,Pre-Monsoon
2025-04-27,78.85714285714286,0,0,Pre-Monsoon
2025-05-04,78.83333333333333,0,0,Pre-Monsoon
2025-05-11,78.66666666666667,0,0,Pre-Monsoon
2025-05-18,77.64285714285714,0,0,Pre-Monsoon
2025-05-25,75.28571428571429,0,0,Pre-Monsoon
2025-06-01,75.5,0,0,Monsoon
2025-06-08,76.0,0,0,Monsoon
2025-06-15,75.66666666666667,0,0,Monsoon
2025-06-22,75.71428571428571,0,0,Monsoon
2025-06-29,77.71428571428571,0,0,Monsoon
2025-07-06,80.0,0,0,Monsoon
2025-07-13,80.0,0,0,Monsoon
2025-07-20,80.0,0,0,Monsoon
2025-07-27,80.0,0,0,Monsoon
2025-08-03,80.0,0,0,Monsoon
2025-08-10,80.0,0,0,Monsoon
2025-08-17,80.0,0,0,Monsoon
2025-08-24,80.0,0,0,Monsoon
2025-08-31,80.0,0,0,Monsoon
2025-09-07,80.0,0,0,Monsoon
2025-09-14,80.0,0,0,Monsoon
2025-09-21,80.0,0,0,Monsoon
2025-09-28,80.0,0,0,Monsoon
2025-10-05,80.0,0,0,Post-Monsoon
2025-10-12,78.92857142857143,0,0,Post-Monsoon
2025-10-19,78.5,0,0,Post-Monsoon
2025-10-26,78.71428571428571,0,0,Post-Monsoon
2025-11-02,78.92857142857143,0,0,Winter
2025-11-09,78.5,0,0,Winter
2025-11-16,78.5,0,0,Winter
2025-11-23,78.5,0,0,Winter
2025-11-30,77.92857142857143,0,0,Winter
2025-12-07,77.64285714285714,0,0,Winter
2025-12-14,77.5,0,0,Winter
2025-12-21,77.5,0,0,Winter
2025-12-28,77.5,0,0,Winter
